"","date","price"
"1","2015-01-31","4960"
"2","2015-01-30","4910"
"3","2015-01-29","4960"
"4","2015-01-28","4960"
"5","2015-01-27","4930"
"6","2015-01-26","4970"
"7","2015-01-25","4960"
"8","2015-01-24","4960"
"9","2015-01-23","4990"
"10","2015-01-22","4980"
"11","2015-01-21","5010"
"12","2015-01-20","4940"
"13","2015-01-19","4940"
"14","2015-01-18","4940"
"15","2015-01-17","4940"
"16","2015-01-16","4890"
"17","2015-01-15","4800"
"18","2015-01-14","4800"
"19","2015-01-13","4830"
"20","2015-01-12","4790"
"21","2015-01-11","4790"
"22","2015-01-10","4790"
"23","2015-01-09","4760"
"24","2015-01-08","4770"
"25","2015-01-07","4790"
"26","2015-01-06","4740"
"27","2015-01-05","4710"
"28","2015-01-04","4680"
"29","2015-01-03","4660"
"30","2015-01-02","4660"
"31","2015-01-01","4620"
"32","2015-02-28","4730"
"33","2015-02-27","4730"
"34","2015-02-26","4710"
"35","2015-02-25","4720"
"36","2015-02-24","4720"
"37","2015-02-17","4800"
"38","2015-02-16","4790"
"39","2015-02-15","4790"
"40","2015-02-14","4790"
"41","2015-02-13","4780"
"42","2015-02-12","4790"
"43","2015-02-11","4830"
"44","2015-02-10","4840"
"45","2015-02-09","4840"
"46","2015-02-08","4830"
"47","2015-02-07","4830"
"48","2015-02-06","4910"
"49","2015-02-05","4930"
"50","2015-02-04","4910"
"51","2015-02-03","4940"
"52","2015-02-02","4970"
"53","2015-02-01","4960"
"54","2015-03-31","4610"
"55","2015-03-30","4630"
"56","2015-03-29","4660"
"57","2015-03-28","4660"
"58","2015-03-27","4660"
"59","2015-03-26","4650"
"60","2015-03-25","4620"
"61","2015-03-24","4620"
"62","2015-03-23","4600"
"63","2015-03-22","4600"
"64","2015-03-21","4600"
"65","2015-03-20","4570"
"66","2015-03-19","4560"
"67","2015-03-18","4520"
"68","2015-03-17","4540"
"69","2015-03-16","4560"
"70","2015-03-15","4560"
"71","2015-03-14","4560"
"72","2015-03-13","4550"
"73","2015-03-12","4540"
"74","2015-03-11","4570"
"75","2015-03-10","4570"
"76","2015-03-09","4590"
"77","2015-03-08","4600"
"78","2015-03-07","4600"
"79","2015-03-06","4680"
"80","2015-03-05","4700"
"81","2015-03-04","4700"
"82","2015-03-03","4680"
"83","2015-03-02","4750"
"84","2015-03-01","4730"
"85","2015-04-30","4560"
"86","2015-04-29","4580"
"87","2015-04-28","4550"
"88","2015-04-27","4500"
"89","2015-04-26","4530"
"90","2015-04-25","4530"
"91","2015-04-24","4580"
"92","2015-04-23","4590"
"93","2015-04-22","4630"
"94","2015-04-21","4620"
"95","2015-04-20","4640"
"96","2015-04-19","4650"
"97","2015-04-18","4650"
"98","2015-04-17","4630"
"99","2015-04-16","4650"
"100","2015-04-15","4630"
"101","2015-04-14","4660"
"102","2015-04-13","4670"
"103","2015-04-12","4670"
"104","2015-04-11","4670"
"105","2015-04-10","4620"
"106","2015-04-09","4620"
"107","2015-04-08","4660"
"108","2015-04-07","4670"
"109","2015-04-06","4700"
"110","2015-04-05","4660"
"111","2015-04-04","4660"
"112","2015-04-03","4660"
"113","2015-04-02","4660"
"114","2015-04-01","4610"
