"date","price"
"2015-04-01",4610
"2015-04-02",4660
"2015-04-03",4660
"2015-04-04",4660
"2015-04-05",4660
"2015-04-06",4700
"2015-04-07",4670
"2015-04-08",4660
"2015-04-09",4620
"2015-04-10",4620
"2015-04-11",4670
"2015-04-12",4670
"2015-04-13",4670
"2015-04-14",4660
"2015-04-15",4630
"2015-04-16",4650
"2015-04-17",4630
"2015-04-18",4650
"2015-04-19",4650
"2015-04-20",4640
"2015-04-21",4620
"2015-04-22",4630
"2015-04-23",4590
"2015-04-24",4580
"2015-04-25",4530
"2015-04-26",4530
"2015-04-27",4500
"2015-04-28",4550
"2015-04-29",4580
"2015-04-30",4560
"2015-05-01",4530
"2015-05-02",4530
"2015-05-03",4510
"2015-05-04",4510
"2015-05-05",4530
"2015-05-06",4550
"2015-05-07",4530
"2015-05-08",4520
"2015-05-09",4530
"2015-05-10",4530
"2015-05-11",4540
"2015-05-12",4520
"2015-05-13",4540
"2015-05-14",4590
"2015-05-15",4600
"2015-05-16",4610
"2015-05-18",4600
"2015-05-19",4600
"2015-05-20",4580
"2015-05-21",4590
"2015-05-22",4570
"2015-05-23",4560
"2015-05-25",4560
"2015-05-26",4570
"2015-05-27",4530
"2015-05-28",4520
"2015-05-29",4530
"2015-05-30",4540
"2015-06-01",4550
"2015-06-02",4550
"2015-06-03",4560
"2015-06-04",4530
"2015-06-08",4530
"2015-06-09",4540
"2015-06-10",4540
"2015-06-13",4540
"2015-06-13",4540
"2015-06-13",4540
"2015-06-14",4540
"2015-06-15",4550
"2015-06-16",4560
"2015-06-17",4540
"2015-06-18",4550
"2015-06-19",4580
"2015-06-20",4580
"2015-06-21",4580
"2015-06-22",4570
"2015-06-23",4540
"2015-06-24",4530
"2015-06-25",4530
"2015-06-26",4510
"2015-06-27",4510
"2015-06-28",4510
"2015-06-29",4540
"2015-06-30",4520
"2015-07-01",4510
"2015-07-02",4490
"2015-07-03",4480
"2015-07-04",4490
"2015-07-05",4490
"2015-07-06",4490
"2015-07-07",4500
"2015-07-08",4450
"2015-07-09",4470
"2015-07-10",4470
"2015-07-11",4480
"2015-07-12",4480
"2015-07-13",4480
"2015-07-14",4460
"2015-07-15",4460
"2015-07-16",4430
"2015-07-17",4430
"2015-07-18",4400
"2015-07-19",4400
"2015-07-20",4310
"2015-07-21",4290
"2015-07-22",4270
"2015-07-23",4270
"2015-07-24",4220
"2015-07-25",4290
"2015-07-26",4290
"2015-07-27",4300
"2015-07-28",4290
"2015-07-29",4290
"2015-07-30",4280
"2015-07-31",4260
"2015-08-01",4300
"2015-08-02",4300
"2015-08-03",4300
"2015-08-04",4270
"2015-08-05",4280
"2015-08-06",4280
"2015-08-07",4290
"2015-08-09",4310
"2015-08-10",4300
"2015-08-11",4330
"2015-08-12",4400
"2015-08-13",4450
"2015-08-14",4420
"2015-08-15",4420
"2015-08-16",4420
"2015-08-17",4440
"2015-08-18",4460
"2015-08-19",4470
"2015-08-20",4530
"2015-08-21",4640
"2015-08-22",4640
"2015-08-23",4640
"2015-08-24",4680
"2015-08-25",4650
"2015-08-26",4580
"2015-08-27",4540
