"date","USD"
"2015-04-01",31.362
"2015-04-02",31.303
"2015-04-07",31.152
"2015-04-08",31.226
"2015-04-09",31.231
"2015-04-10",31.24
"2015-04-13",31.342
"2015-04-14",31.312
"2015-04-15",31.33
"2015-04-16",31.253
"2015-04-17",31.162
"2015-04-20",31.102
"2015-04-21",31.173
"2015-04-22",31.113
"2015-04-23",31.131
"2015-04-24",31.051
"2015-04-27",30.861
"2015-04-28",30.831
"2015-04-29",30.695
"2015-04-30",30.752
"2015-05-04",30.776
"2015-05-05",30.781
"2015-05-06",30.753
"2015-05-07",30.803
"2015-05-08",30.765
"2015-05-11",30.78
"2015-05-12",30.81
"2015-05-13",30.78
"2015-05-14",30.681
"2015-05-15",30.612
"2015-05-18",30.61
"2015-05-19",30.64
"2015-05-20",30.682
"2015-05-21",30.65
"2015-05-22",30.541
"2015-05-25",30.571
"2015-05-26",30.708
"2015-05-27",30.725
"2015-05-28",30.801
"2015-05-29",30.871
"2015-06-01",30.932
"2015-06-02",31.002
"2015-06-03",30.922
"2015-06-04",31.062
"2015-06-05",31.032
"2015-06-08",31.275
"2015-06-09",31.302
"2015-06-10",31.156
"2015-06-11",31.162
"2015-06-12",31.226
"2015-06-15",31.256
"2015-06-16",31.266
"2015-06-17",31.261
"2015-06-18",31.062
"2015-06-22",30.97
"2015-06-23",31.002
"2015-06-24",31.052
"2015-06-25",31.052
"2015-06-26",31.132
"2015-06-29",31.178
"2015-06-30",31.07
"2015-07-01",31.1
"2015-07-02",31.15
"2015-07-03",31.12
"2015-07-06",31.15
"2015-07-07",31.162
"2015-07-08",31.225
"2015-07-09",31.23
"2015-07-13",31.2
"2015-07-14",31.302
"2015-07-15",31.272
"2015-07-16",31.31
"2015-07-17",31.312
"2015-07-20",31.342
"2015-07-21",31.407
"2015-07-22",31.352
"2015-07-23",31.452
"2015-07-24",31.53
"2015-07-27",31.56
"2015-07-28",31.575
"2015-07-29",31.523
"2015-07-30",31.601
"2015-07-31",31.682
"2015-08-03",31.705
"2015-08-04",31.726
"2015-08-05",31.75
"2015-08-06",31.755
"2015-08-07",31.77
"2015-08-10",31.76
"2015-08-11",32.08
"2015-08-12",32.465
"2015-08-13",32.366
"2015-08-14",32.368
"2015-08-17",32.621
"2015-08-18",32.653
"2015-08-19",32.668
"2015-08-20",32.678
"2015-08-21",32.876
"2015-08-24",32.96
"2015-08-25",32.879
"2015-08-26",32.765
"2015-08-27",32.77
"2015-08-28",32.772
"2015-08-31",32.81
"2015-09-01",32.68
"2015-09-02",32.762
"2015-09-03",32.801
"2015-09-04",32.833
"2015-09-07",32.935
"2015-09-08",33.003
"2015-09-09",32.775
"2015-09-10",32.856
"2015-09-11",32.71
"2015-09-14",32.72
"2015-09-15",32.786
"2015-09-16",32.762
